Sample,RMSE_km,Rsigma_km,Isigma_km,Csigma_km,Tsigma_km,Converged
121,41.0410395398032,5.17528350630388,0.569173890138565,0.351532026317569,5.21834198317467,1
122,41.4113858259009,5.17530755235,0.569176524481454,0.351533254078405,5.21836620084818,1
123,40.8291310585514,5.17521039463744,0.569172443072616,0.351527608549284,5.21826901934818,1
124,40.8101993914727,5.17524048301478,0.569172326546691,0.351529786739907,5.21829899347546,1
125,40.6715851116378,5.17523292133788,0.569171828516691,0.351529443372635,5.21829141674114,1
126,41.7074634979506,5.17532223321573,0.569176886636238,0.35153402850879,5.21838085224694,1
127,42.9882552901682,5.17543509156674,0.569185670790358,0.351539120062145,5.21849408045918,1
128,41.0028964546249,5.17522785896818,0.569171806806944,0.351528536337716,5.2182863326732,1
129,41.6847180402841,5.17530040004204,0.569178213797292,0.351532947273393,5.218359271146,1
130,42.1184125174228,5.17535865993505,0.569179194503854,0.351535427108067,5.21841732433626,1
131,40.4953566990436,5.17518727738493,0.569170256797877,0.351526520243698,5.21824578107096,1
132,42.0231604721417,5.17532301125491,0.569178237849509,0.351533438428759,5.21838173149489,1
133,41.7880679240624,5.17533055504819,0.569177483830851,0.351534773815413,5.21838922075739,1
134,40.5574217436186,5.17524067813343,0.569171499971532,0.351530102463665,5.21829911809633,1
135,39.6561061396184,5.17513813445347,0.569165529116083,0.351524399036437,5.21819638508618,1
136,41.3411988391924,5.1752766162111,0.569177871465236,0.351531728701799,5.21833556413836,1
137,41.3946486588677,5.17528959405423,0.569177078955561,0.351532154495718,5.218348377138,1
138,41.9086277437941,5.17535364352262,0.569177935603539,0.351535426480064,5.21841221196364,1
139,40.5268949233051,5.17519735738917,0.569172528130535,0.351527560890354,5.21825609574424,1
140,41.2786445724394,5.17527508730517,0.569178007675184,0.351531481764681,5.21833404607009,1
141,40.3011017473275,5.17515420271241,0.569168528060936,0.351524942069064,5.21821268444317,1
142,41.8800173236147,5.17533902655535,0.569180599218026,0.351534806853772,5.21839796438934,1
143,40.8588090208095,5.17526034626607,0.569173144140957,0.351531011027881,5.21831886447729,1
144,41.8789244641712,5.17529936915548,0.569180717062776,0.351532256356306,5.21835847525983,1
145,41.5704036494537,5.17533481584601,0.569173783156067,0.35153452943914,5.21839302629919,1
146,40.9739841967415,5.17525781867475,0.56917489283302,0.351530726463921,5.21831652930655,1
147,41.4677743016753,5.17528747693485,0.569175704986403,0.351532121448901,5.21834612539986,1
148,40.608893163457,5.17520490676667,0.569174683376539,0.351527895434428,5.21826384044418,1
149,40.9825796539854,5.17523590200586,0.569175022688765,0.351529246136094,5.21829470792444,1
150,41.7539923664088,5.1753315262199,0.569179170134945,0.35153411238736,5.21839032328678,1
151,41.3043464977295,5.17526873779411,0.569175246221548,0.351531265069707,5.21832743315537,1
152,41.9438196340021,5.17533839281246,0.569180526545235,0.351534937315142,5.21839733673761,1
153,41.0631090656918,5.17527283653245,0.569176268447662,0.351531476961072,5.21833162384388,1
154,42.6648915865502,5.17538852770981,0.569183962671878,0.351537186521171,5.21844758425534,1
155,42.8124432965754,5.17542945451287,0.569184928386224,0.351539518050602,5.21848843575347,1
156,41.5640840160153,5.17530550432453,0.569178394990909,0.351532936669175,5.2183643523598,1
157,40.9305529683198,5.17523719794996,0.56917231579645,0.351529106224686,5.21829568850186,1
